wordpress_title,royal_road_title,url,same,slug
1.00,1.00,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113220/100,TRUE,1-00
1.01,1.01,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113248/101,TRUE,1-01
1.02,1.02,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113250/102,TRUE,1-02
1.03,1.03,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113252/103,TRUE,1-03
1.04,1.04,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113253/104,TRUE,1-04
1.05,1.05,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113254/105,TRUE,1-05
1.06,1.06,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113255/106,TRUE,1-06
1.07,1.07,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113256/107,TRUE,1-07
1.08,1.08,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113257/108,TRUE,1-08
1.09,1.09,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113258/109,TRUE,1-09
1.10,1.10,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113259/110,TRUE,1-10
1.11,1.11,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113260/111,TRUE,1-11
Interlude,Interlude,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113261/interlude,TRUE,interlude
1.12,1.12,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113262/112,TRUE,1-12
1.13,1.13,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113263/113,TRUE,1-13
1.14,1.14,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113264/114,TRUE,1-14
1.15,1.15,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113265/115,TRUE,1-15
1.16,1.16,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113267/116,TRUE,1-16
1.17,1.17,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113268/117,TRUE,1-17
1.18,1.18,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113269/118,TRUE,1-18
1.19,1.19,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113270/119,TRUE,1-19
1.20,1.20,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113271/120,TRUE,1-20
Interlude – 1.00 R,Interlude - 1.00 R,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113272/interlude-100-r,FALSE,interlude-1-00-r
1.01 R,1.01 R,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113273/101-r,TRUE,1-01-r
1.21,1.21,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113274/121,TRUE,1-21
1.22,1.22,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113275/122,TRUE,1-22
1.23,1.23,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113276/123,TRUE,1-23
Interlude: King Edition,Interlude - King Edition,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113277/interlude-king-edition,FALSE,interlude-king-edition
1.24,1.24,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113278/124,TRUE,1-24
1.02 R,1.02 R,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113279/102-r,TRUE,1-02-r
1.03 R,1.03 R,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113280/103-r,TRUE,1-03-r
1.25,1.25,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113281/125,TRUE,1-25
1.26,1.26,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113282/126,TRUE,1-26
1.27,1.27,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113283/127,TRUE,1-27
1.04 R,1.04 R,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113284/104-r,TRUE,1-04-r
1.05 R,1.05 R,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113285/105-r,TRUE,1-05-r
1.28,1.28,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113293/128,TRUE,1-28
1.06 R,1.06 R,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113294/106-r,TRUE,1-06-r
1.29,1.29,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113295/129,TRUE,1-29
1.30,1.30,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113296/130,TRUE,1-30
1.31,1.31,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113297/131,TRUE,1-31
1.07 R,1.07 R,https://www.royalroad.com/fiction/10073/the-wandering-inn/chapter/113298/107-r,TRUE,1-07-r
